id,stock_id,date,open,high,low,close,adj_close,volume,daily_return,trend,adj_close_to_usd
1527077,6,2024-11-29,234.80999755859375,237.80999755859375,233.97000122070312,237.3300018310547,237.3300018310547,28481400,1.021584825308196,Positive Change,237.3300018310547
1527743,6,2024-12-02,237.27000427246094,240.7899932861328,237.16000366210938,239.58999633789062,239.58999633789062,48137100,nan,,239.58999633789062
1527744,6,2024-12-03,239.80999755859375,242.75999450683594,238.89999389648438,242.64999389648438,242.64999389648438,38861000,1.2771808528592636,Positive Change,242.64999389648438
1528325,6,2024-12-04,242.8699951171875,244.11000061035156,241.25,243.00999450683594,243.00999450683594,44353000,0.1483620933059411,Insignificant Change,243.00999450683594
1527230,7,2024-11-29,47.79999923706055,48.08000183105469,47.5,47.5099983215332,47.5099983215332,23262000,-0.5442791160539182,Negative Change,47.5099983215332
1528049,7,2024-12-02,47.7400016784668,47.81999969482422,46.849998474121094,47.040000915527344,47.040000915527344,35891500,nan,,47.040000915527344
1528050,7,2024-12-03,47.369998931884766,47.47999954223633,46.650001525878906,46.81999969482422,46.81999969482422,38123800,-0.46768966075956264,Negative Change,46.81999969482422
1528477,7,2024-12-04,46.689998626708984,46.779998779296875,46.130001068115234,46.369998931884766,46.369998931884766,24935100,-0.9611293589760511,Negative Change,46.369998931884766
1527072,8,2024-11-29,154.88999938964844,155.6699981689453,154.1699981689453,155.00999450683594,155.00999450683594,5687800,-0.2509648680605646,Insignificant Change,155.00999450683594
1527733,8,2024-12-02,154.75,155.0,153.92999267578125,154.8000030517578,154.8000030517578,6946500,nan,,154.8000030517578
1527734,8,2024-12-03,154.8000030517578,154.8000030517578,152.30999755859375,152.36000061035156,152.36000061035156,8674400,-1.57622893624261,Negative Change,152.36000061035156
1528320,8,2024-12-04,151.2899932861328,151.55999755859375,149.75,150.47000122070312,150.47000122070312,10331300,-1.2404826608539854,Negative Change,150.47000122070312
1527089,9,2024-11-29,25.829999923706055,26.229999542236328,25.770000457763672,26.209999084472656,26.209999084472656,22023000,1.4711543239992382,Positive Change,26.209999084472656
1527767,9,2024-12-02,26.06999969482422,26.219999313354492,25.729999542236328,25.81999969482422,25.81999969482422,43866400,nan,,25.81999969482422
1527768,9,2024-12-03,25.829999923706055,25.899999618530273,25.520000457763672,25.559999465942383,25.559999465942383,49064300,-1.0069722383999664,Negative Change,25.559999465942383
1528337,9,2024-12-04,25.450000762939453,25.5,25.18000030517578,25.229999542236328,25.229999542236328,42500400,-1.2910795406931272,Negative Change,25.229999542236328
1527216,10,2024-11-29,86.38999938964844,87.08000183105469,85.81999969482422,86.7699966430664,86.7699966430664,4469700,0.23102339025899843,Insignificant Change,86.7699966430664
1528021,10,2024-12-02,86.55000305175781,87.47000122070312,85.83999633789062,86.52999877929688,86.52999877929688,7273500,nan,,86.52999877929688
1528022,10,2024-12-03,86.4000015258789,86.4000015258789,84.61499786376953,85.13999938964844,85.13999938964844,8189800,-1.6063786077170361,Negative Change,85.13999938964844
1528463,10,2024-12-04,85.68000030517578,90.13999938964844,85.23999786376953,89.33000183105469,89.33000183105469,15526200,4.921308986896332,Large Positive Change,89.33000183105469
1527200,11,2024-11-29,249.86000061035156,251.77000427246094,249.4499969482422,249.72000122070312,249.72000122070312,5494800,-0.028020364030160342,Insignificant Change,249.72000122070312
1527989,11,2024-12-02,249.5500030517578,250.25,245.02999877929688,246.25,246.25,8899700,nan,,246.25
1527990,11,2024-12-03,248.22999572753906,249.0399932861328,244.6300048828125,244.82000732421875,244.82000732421875,6657700,-0.5807076855964467,Negative Change,244.82000732421875
1528447,11,2024-12-04,244.6999969482422,245.35000610351562,242.22999572753906,243.39999389648438,243.39999389648438,7343300,-0.5800234397729718,Negative Change,243.39999389648438
1527075,15,2024-11-29,569.0,578.4600219726562,566.9000244140625,574.3200073242188,574.3200073242188,7130500,0.8995072043893841,Positive Change,574.3200073242188
1527739,15,2024-12-02,577.5,594.5,575.5700073242188,592.8300170898438,592.8300170898438,12522400,nan,,592.8300170898438
1527740,15,2024-12-03,595.0,614.2000122070312,591.25,613.6500244140625,613.6500244140625,14907200,3.511969152038309,Large Positive Change,613.6500244140625
1528323,15,2024-12-04,612.9600219726562,617.780029296875,605.0999755859375,613.780029296875,613.780029296875,14687100,0.02118550927079875,Insignificant Change,613.780029296875
1527083,16,2024-11-29,136.77999877929688,139.35000610351562,136.0500030517578,138.25,138.25,141863200,2.15014315121174,Positive Change,138.25
1527755,16,2024-12-02,138.8300018310547,140.4499969482422,137.82000732421875,138.6300048828125,138.6300048828125,171682800,nan,,138.6300048828125
1527756,16,2024-12-03,138.25999450683594,140.5399932861328,137.9499969482422,140.25999450683594,140.25999450683594,164414000,1.175784149615597,Positive Change,140.25999450683594
1528331,16,2024-12-04,142.0,145.7899932861328,140.2899932861328,145.13999938964844,145.13999938964844,230327500,3.4792564337186396,Large Positive Change,145.13999938964844
1527137,17,2024-11-29,130.5,132.85000610351562,130.1699981689453,132.30999755859375,132.30999755859375,5023500,1.7065118634771743,Positive Change,132.30999755859375
1527863,17,2024-12-02,130.72999572753906,131.99000549316406,127.87000274658203,130.72000122070312,130.72000122070312,14195600,nan,,130.72000122070312
1527864,17,2024-12-03,130.5,131.77000427246094,128.9199981689453,131.4499969482422,131.4499969482422,8163900,0.5584422588143668,Positive Change,131.4499969482422
1528385,17,2024-12-04,130.77000427246094,130.9499969482422,129.0399932861328,130.07000732421875,130.07000732421875,6042900,-1.049820963150575,Negative Change,130.07000732421875
