id,stock__ticker,date,open,high,low,close,adj_close,volume,daily_return,trend,adj_close_to_usd
1527005,FMC,2024-11-29,59.119998931884766,59.5099983215332,57.560001373291016,59.09000015258789,59.09000015258789,607100,-0.6890753738018645,Negative Change,59.09000015258789
1527577,FMC,2024-12-02,58.88999938964844,59.59000015258789,57.75,59.380001068115234,59.380001068115234,1175800,,,59.380001068115234
1527578,FMC,2024-12-03,59.599998474121094,60.4900016784668,58.75,59.529998779296875,59.529998779296875,1303100,,,59.529998779296875
1528253,FMC,2024-12-04,58.9900016784668,59.47999954223633,58.209999084472656,59.0099983215332,59.0099983215332,980300,-0.8735099419227869,Negative Change,59.0099983215332
1528660,FMC,2024-12-05,59.25,59.279998779296875,56.7400016784668,57.189998626708984,57.189998626708984,1276700,-3.0842225836161172,Large Negative Change,57.189998626708984
1526971,CMCSA,2024-11-29,42.459999084472656,43.27000045776367,42.41999816894531,43.189998626708984,43.189998626708984,9557000,1.4802566566958109,Positive Change,43.189998626708984
1527573,CMCSA,2024-12-02,43.0099983215332,43.310001373291016,42.68000030517578,43.290000915527344,43.290000915527344,16253400,,,43.290000915527344
1527574,CMCSA,2024-12-03,43.220001220703125,43.45000076293945,42.83000183105469,42.86000061035156,42.86000061035156,14352200,,,42.86000061035156
1528268,CMCSA,2024-12-04,42.709999084472656,42.970001220703125,42.380001068115234,42.54999923706055,42.54999923706055,14621000,-0.7232883081577558,Negative Change,42.54999923706055
1528662,CMCSA,2024-12-05,42.61000061035156,42.97999954223633,42.459999084472656,42.790000915527344,42.790000915527344,13588000,0.56404625797915,Positive Change,42.790000915527344
1526972,CAG,2024-11-29,27.3799991607666,27.75,27.329999923706055,27.549999237060547,27.549999237060547,4236900,0.3642931560719765,Positive Change,27.549999237060547
1527575,CAG,2024-12-02,27.559999465942383,27.959999084472656,27.40999984741211,27.81999969482422,27.81999969482422,6904000,,,27.81999969482422
1527576,CAG,2024-12-03,27.81999969482422,28.059999465942383,27.68000030517578,27.709999084472656,27.709999084472656,4250800,,,27.709999084472656
1528269,CAG,2024-12-04,27.40999984741211,27.559999465942383,27.25,27.31999969482422,27.31999969482422,3365500,-1.4074319831608162,Negative Change,27.31999969482422
1528663,CAG,2024-12-05,27.350000381469727,28.690000534057617,27.280000686645508,27.81999969482422,27.81999969482422,4797800,1.830161074616429,Positive Change,27.81999969482422
1526973,NOC,2024-11-29,489.8999938964844,490.6199951171875,486.6000061035156,489.6499938964844,487.5899963378906,336700,-0.3046516470276466,Negative Change,487.5899963378906
1527579,NOC,2024-12-02,487.0,489.17999267578125,481.9100036621094,484.75,484.75,479600,,,484.75
1527580,NOC,2024-12-03,485.67999267578125,486.29998779296875,483.1300048828125,485.2099914550781,485.2099914550781,683800,,,485.2099914550781
1528254,NOC,2024-12-04,482.739990234375,487.8399963378906,481.05999755859375,486.6199951171875,486.6199951171875,804600,0.2905965843532957,Insignificant Change,486.6199951171875
1528661,NOC,2024-12-05,485.79998779296875,486.5899963378906,478.1400146484375,479.57000732421875,479.57000732421875,932500,-1.4487665660493414,Negative Change,479.57000732421875
1526976,CTSH,2024-11-29,80.62000274658203,80.9800033569336,80.20999908447266,80.48999786376953,80.48999786376953,1399500,-0.3219840696352554,Negative Change,80.48999786376953
1527583,CTSH,2024-12-02,80.19000244140625,81.0199966430664,79.97000122070312,80.81999969482422,80.81999969482422,2984000,,,80.81999969482422
1527584,CTSH,2024-12-03,80.19000244140625,80.58000183105469,79.5999984741211,79.9800033569336,79.9800033569336,2372500,,,79.9800033569336
1528270,CTSH,2024-12-04,80.4000015258789,80.81999969482422,80.19999694824219,80.58000183105469,80.58000183105469,1914800,0.7501856075742199,Positive Change,80.58000183105469
1528665,CTSH,2024-12-05,80.26000213623047,80.91999816894531,80.12999725341797,80.7300033569336,80.7300033569336,1823000,0.18615229892076923,Insignificant Change,80.7300033569336
1526979,GT,2024-11-29,10.6899995803833,10.90999984741211,10.670000076293945,10.739999771118164,10.739999771118164,4439700,1.2252603077051405,Positive Change,10.739999771118164
1527589,GT,2024-12-02,10.739999771118164,11.050000190734863,10.680000305175781,11.0,11.0,5496200,,,11.0
1527590,GT,2024-12-03,11.0,11.09000015258789,10.729999542236328,10.739999771118164,10.739999771118164,6490100,,,10.739999771118164
1528272,GT,2024-12-04,10.729999542236328,10.890000343322754,10.5600004196167,10.8100004196167,10.8100004196167,3138100,0.6517751395747678,Positive Change,10.8100004196167
1528666,GT,2024-12-05,10.84000015258789,10.899999618530273,9.970000267028809,9.989999771118164,9.989999771118164,6188000,-7.585574622277496,Bear Sell Off,9.989999771118164
1526978,PEG,2024-11-29,94.52999877929688,94.91999816894531,93.91999816894531,94.30000305175781,94.30000305175781,1190100,0.10616359528182677,Insignificant Change,94.30000305175781
1527587,PEG,2024-12-02,94.88999938964844,94.98999786376953,92.19000244140625,92.2699966430664,92.2699966430664,2078900,,,92.2699966430664
1527588,PEG,2024-12-03,93.19999694824219,93.36000061035156,91.1500015258789,91.16000366210938,91.16000366210938,2458400,,,91.16000366210938
1528256,PEG,2024-12-04,91.2699966430664,91.86000061035156,90.80000305175781,91.80000305175781,91.80000305175781,1725800,0.7020616102875971,Positive Change,91.80000305175781
1528667,PEG,2024-12-05,91.7300033569336,92.25,91.44000244140625,91.5199966430664,91.5199966430664,2066500,-0.30501786425163374,Negative Change,91.5199966430664
1526980,LH,2024-11-29,242.0,242.61000061035156,240.77999877929688,241.16000366210938,241.16000366210938,293500,-0.40883347484130295,Negative Change,241.16000366210938
